date,azimute,altitude,pos1,pos2
2021-05-26 20:50:17.964138,5.132861614227295,-0.0028286357410252094,359.8289046128591,359.99439110828666
2021-05-26 20:54:17.964138,5.12448787689209,-0.013711059466004372,11.652385170724699,12.383260982626325
2021-05-26 20:58:17.964138,5.116196155548096,-0.023810191079974174,11.870258137897252,12.779729926925565
2021-05-26 21:02:17.964138,5.107983589172363,-0.03342292085289955,12.095667289521415,13.184032933938042
2021-05-26 21:06:17.964138,5.099847793579102,-0.043787382543087006,12.328861272719493,13.596454555780127
2021-05-26 21:10:17.964138,5.091785907745361,-0.06564491242170334,12.57009711821863,14.017645956801472
2021-05-26 21:14:17.964138,5.083795070648193,-0.09274017810821533,12.819640519804311,14.448058646731889
2021-05-26 21:18:17.964138,5.07587194442749,-0.10990764200687408,13.077766138983538,14.887647772764902
2021-05-26 21:22:17.964138,5.068015098571777,-0.12540672719478607,13.344757840330598,15.33665325834908
2021-05-26 21:26:17.964138,5.060220718383789,-0.1403295248746872,13.620909077728825,15.795361211769197
2021-05-26 21:30:17.964138,5.052486896514893,-0.1547589898109436,13.906523150435957,16.264070616444094
2021-05-26 21:34:17.964138,5.0448102951049805,-0.1691485196352005,14.20191357894699,16.743106019730167
2021-05-26 21:38:17.964138,5.03718900680542,-0.18357603251934052,14.507404398018375,17.23280536741476
2021-05-26 21:42:17.964138,5.0296196937561035,-0.1980404406785965,14.823330554827118,17.733517733931617
2021-05-26 21:46:17.964138,5.022100448608398,-0.2125406712293625,15.15003822503441,18.24560369714041
2021-05-26 21:50:17.964138,5.0146284103393555,-0.22707566618919373,15.487885218857578,18.76943572664197
2021-05-26 21:54:17.964138,5.007200717926025,-0.24164441227912903,15.837241368888629,19.305398586014228
2021-05-26 21:58:17.964138,4.999814987182617,-0.2562459111213684,16.198488914945496,19.853889746883123
2021-05-26 22:02:17.964138,4.99246883392334,-0.27087920904159546,16.572022917646237,20.41531981777272
2021-05-26 22:06:17.964138,4.985158920288086,-0.2855433225631714,16.958251717558174,20.990112985776765
2021-05-26 22:10:17.964138,4.977883338928223,-0.3002373278141022,17.35759733017917,21.57870747437654
2021-05-26 22:14:17.964138,4.970639228820801,-0.3149603009223938,17.770495933557783,22.181556015525878
2021-05-26 22:18:17.964138,4.963424205780029,-0.3297114074230194,18.197398324483707,22.79912633992277
2021-05-26 22:22:17.964138,4.956234931945801,-0.344489723443985,18.638770437568304,23.431901678623177
2021-05-26 22:26:17.964138,4.949069023132324,-0.35929441452026367,19.095093818049502,24.080381286375502
2021-05-26 22:30:17.964138,4.94192361831665,-0.3741246461868286,19.566866158040597,24.74508097984975
2021-05-26 22:34:17.964138,4.9347968101501465,-0.38897958397865295,20.05460180297028,25.42653369274805
2021-05-26 22:38:17.964138,4.927684307098389,-0.40385839343070984,20.55883238616601,26.12529005206794
2021-05-26 22:42:17.964138,4.920584201812744,-0.4187602996826172,21.080107325644452,26.841918972912175
2021-05-26 22:46:17.964138,4.913493633270264,-0.4336845576763153,21.61899444872359,27.577008273125507
2021-05-26 22:50:17.964138,4.90640926361084,-0.44863033294677734,22.176080621560683,28.331165304942424
2021-05-26 22:54:17.964138,4.899327754974365,-0.4635968804359436,22.751972383780227,29.10501761374963
2021-05-26 22:58:17.964138,4.892246723175049,-0.4785834550857544,23.347296572467066,29.899213614668056
2021-05-26 23:02:17.964138,4.885162353515625,-0.49358928203582764,23.962701046432112,30.714423292283655
2021-05-26 23:06:17.964138,4.8780717849731445,-0.5086137056350708,24.59885535514741,31.551338927643073
2021-05-26 23:10:17.964138,4.870971202850342,-0.523655891418457,25.256451493557314,32.4106758404756
2021-05-26 23:14:17.964138,4.863856792449951,-0.538715124130249,25.936204650260894,33.29317316628864
2021-05-26 23:18:17.964138,4.856726169586182,-0.5537907481193542,26.638853932950052,34.19959465565762
2021-05-26 23:22:17.964138,4.849574089050293,-0.5688819885253906,27.365163261080045,35.13072949731114
2021-05-26 23:26:17.964138,4.842397689819336,-0.5839880704879761,28.1159221134554,36.08739317010925
2021-05-26 23:30:17.964138,4.8351922035217285,-0.5991083979606628,28.891946443786523,37.07042833150082
2021-05-26 23:34:17.964138,4.827953815460205,-0.6142421960830688,29.6940795313974,38.08070572241684
2021-05-26 23:38:17.964138,4.820677757263184,-0.629388689994812,30.52319292386854,39.119125109545614
2021-05-26 23:42:17.964138,4.81335973739624,-0.644547164440155,31.380187363417615,40.1866162604742
2021-05-26 23:46:17.964138,4.805994510650635,-0.6597169041633606,32.26599379184318,41.284139950341086
2021-05-26 23:50:17.964138,4.798576831817627,-0.6748971343040466,33.18157435717737,42.412689000057135
2021-05-26 23:54:17.964138,4.791101455688477,-0.690087080001831,34.127923453893665,43.573289351186986
2021-05-26 23:58:17.964138,4.783563137054443,-0.7052860856056213,35.1060687977883,44.76700118063345
2021-05-27 00:02:17.964138,4.775954723358154,-0.7204931974411011,36.11707260026931,45.99492004055713
2021-05-27 00:06:17.964138,4.768270969390869,-0.7357077598571777,37.16203265463192,47.25817805437344
2021-05-27 00:10:17.964138,4.760504245758057,-0.7509288191795349,38.24208360159439,48.5579451350659
2021-05-27 00:14:17.964138,4.752647399902344,-0.7661556005477905,39.35839814165079,49.89543025980585
2021-05-27 00:18:17.964138,4.744693279266357,-0.781387209892273,40.51218830373027,51.2718827769266
2021-05-27 00:22:17.964138,4.736632823944092,-0.7966227531433105,41.70470681972314,52.68859376268882
2021-05-27 00:26:17.964138,4.728457927703857,-0.8118612766265869,42.937248449457115,54.14689742022494
